Name,Partei,Ort,Link,ID Politiker,Bezirk,Fraktion
Gabriel Markus,SVP,Uerkheim,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=111067,111067,Bezirk Zofingen,SVP/EDU
Gerhard Kurt,SVP,Brittnau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4529369,4529369,Bezirk Zofingen,SVP/EDU
Giezendanner Stefan,SVP,Zofingen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887882,4887882,Bezirk Zofingen,SVP/EDU
Glarner Jeanine,FDP,Möriken-Wildegg,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=99867,99867,Bezirk Lenzburg,FDP
Glur Christian,SVP,Murgenthal,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=88885,88885,Bezirk Zofingen,SVP/EDU
Gosteli Patrick,SVP,Böttstein,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=82150,82150,Bezirk Zurzach,SVP/EDU
Gratwohl Mario,SVP,Niederwil,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4478120,4478120,Bezirk Bremgarten,SVP/EDU
Gräub Adrian,SVP,Baden,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=5225332,5225332,Bezirk Baden,SVP/EDU
Gresch Dominik,GLP,Zofingen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887883,4887883,Bezirk Zofingen,GLP
Gretener Bruno,FDP,Mellingen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102442,102442,Bezirk Baden,FDP
Hagenbuch Christoph,SVP,Oberlunkhofen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=113118,113118,Bezirk Bremgarten,SVP/EDU
Haller Rolf,EDU,Zetzwil,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102988,102988,Bezirk Kulm,SVP/EDU
Häseli Gertrud,Grüne,Wittnau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=87999,87999,Bezirk Laufenburg,Grüne
Hasler Kathrin,SVP,Hellikon,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102448,102448,Bezirk Rheinfelden,SVP/EDU
Hauser Claudia,FDP,Döttingen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=116449,116449,Bezirk Zurzach,FDP
Häusermann Renate,SVP,Seengen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887884,4887884,Bezirk Lenzburg,SVP/EDU
Hilfiker Silvan,FDP,Oberlunkhofen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102594,102594,Bezirk Bremgarten,FDP
Hochreuter Clemens,SVP,Erlinsbach,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=87824,87824,Bezirk Aarau,SVP/EDU
Hölzle Daniel,Grüne,Zofingen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102452,102452,Bezirk Zofingen,Grüne
Hottiger Hans-Ruedi,Die Mitte,Zofingen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=88881,88881,Bezirk Zofingen,Die Mitte
Hottiger Tobias,FDP,Zofingen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887885,4887885,Bezirk Zofingen,FDP
Huber Lukas,GLP,Berikon,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887886,4887886,Bezirk Bremgarten,GLP
Huber René,Die Mitte,Leuggern,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102672,102672,Bezirk Zurzach,Die Mitte
