Name,Partei,Ort,Link,ID Politiker,Bezirk,Anzahl Vorstösse
Meier Andreas,Die Mitte,Klingnau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=116998,116998,Bezirk Zurzach,11
Burgherr David,SP,Lengnau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=111804,111804,Bezirk Zurzach,1
Hauser Claudia,FDP,Döttingen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=116449,116449,Bezirk Zurzach,0
Schmid Isabelle,Grüne,Tegerfelden,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887896,4887896,Bezirk Zurzach,0
