Name,Partei,Ort,Link,ID Politiker,Bezirk,Fraktion,Anzahl Vorstösse
Meier Andreas,Die Mitte,Klingnau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=116998,116998,Bezirk Zurzach,Die Mitte,11
Burgherr David,SP,Lengnau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=111804,111804,Bezirk Zurzach,SP,1
Erne Hansjörg,SVP,Leuggern,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=100574,100574,Bezirk Zurzach,SVP/EDU,1
Huber René,Die Mitte,Leuggern,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102672,102672,Bezirk Zurzach,Die Mitte,1
Gosteli Patrick,SVP,Böttstein,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=82150,82150,Bezirk Zurzach,SVP/EDU,0
Hauser Claudia,FDP,Döttingen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=116449,116449,Bezirk Zurzach,FDP,0
Schmid Isabelle,Grüne,Tegerfelden,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887896,4887896,Bezirk Zurzach,Grüne,0
