Name,Partei,Ort,Link,ID Politiker,Bezirk,Fraktion,Anzahl Vorstösse
Bucher Ralf,Die Mitte,Mühlau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102446,102446,Bezirk Muri,Die Mitte,6
Huwyler Stefan,FDP,Muri,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=113497,113497,Bezirk Muri,FDP,6
Müller-Boder Nicole,SVP,Buttwil,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=107572,107572,Bezirk Muri,SVP/EDU,4
Stenico-Goldschmid Franziska,Die Mitte,Beinwil (Freiamt),https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4067421,4067421,Bezirk Muri,Die Mitte,4
Budmiger Hans-Peter,GLP,Muri,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887877,4887877,Bezirk Muri,GLP,2
Urech Daniel,SVP,Sins,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=118346,118346,Bezirk Muri,SVP/EDU,2
Burkard Flurin,SP,Waltenschwil,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=90326,90326,Bezirk Muri,SP,1
