Name,Partei,Ort,Link,ID Politiker,Bezirk,Fraktion,Anzahl Vorstösse
Seibert Uriel,EVP,Schöftland,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=110263,110263,Bezirk Kulm,EVP,9
Faes Karin,FDP,Schöftland,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887880,4887880,Bezirk Kulm,FDP,3
Lüscher Severin,Grüne,Schöftland,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=108453,108453,Bezirk Kulm,Grüne,2
Borer-Mathys Barbara,SVP,Holziken,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887873,4887873,Bezirk Kulm,SVP/EDU,1
Haller Rolf,EDU,Zetzwil,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102988,102988,Bezirk Kulm,SVP/EDU,1
Meier Adrian,FDP,Menziken,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4888934,4888934,Bezirk Kulm,FDP,1
Merz Alfred,SP,Menziken,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102382,102382,Bezirk Kulm,SP,0
Merz Christian,SVP,Beinwil am See,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=113120,113120,Bezirk Kulm,SVP/EDU,0
Rudolf Bruno,SVP,Reinach,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102476,102476,Bezirk Kulm,SVP/EDU,0
